name,img,level
Koromon,https://digimon.shadowsmith.com/img/koromon.jpg,In Training
Tsunomon,https://digimon.shadowsmith.com/img/tsunomon.jpg,In Training
Yokomon,https://digimon.shadowsmith.com/img/yokomon.jpg,In Training
Motimon,https://digimon.shadowsmith.com/img/motimon.jpg,In Training
Tanemon,https://digimon.shadowsmith.com/img/tanemon.jpg,In Training
Bukamon,https://digimon.shadowsmith.com/img/bukamon.jpg,In Training
Tokomon,https://digimon.shadowsmith.com/img/tokomon.jpg,In Training
Agumon,https://digimon.shadowsmith.com/img/agumon.jpg,Rookie
Gabumon,https://digimon.shadowsmith.com/img/gabumon.jpg,Rookie
Biyomon,https://digimon.shadowsmith.com/img/biyomon.jpg,Rookie
Tentomon,https://digimon.shadowsmith.com/img/tentomon.jpg,Rookie
Palmon,https://digimon.shadowsmith.com/img/palmon.jpg,Rookie
Gomamon,https://digimon.shadowsmith.com/img/gomamon.jpg,Rookie
Patamon,https://digimon.shadowsmith.com/img/patamon.jpg,Rookie
Kuwagamon,https://digimon.shadowsmith.com/img/kuwagamon.jpg,Champion
Greymon,https://digimon.shadowsmith.com/img/greymon.jpg,Champion
Shellmon,https://digimon.shadowsmith.com/img/shellmon.jpg,Champion
Garurumon,https://digimon.shadowsmith.com/img/garurumon.jpg,Champion
Seadramon,https://digimon.shadowsmith.com/img/seadramon.jpg,Champion
Monochromon,https://digimon.shadowsmith.com/img/monochromon.jpg,Champion
Birdramon,https://digimon.shadowsmith.com/img/birdramon.jpg,Champion
Meramon,https://digimon.shadowsmith.com/img/meramon.jpg,Champion
Kabuterimon,https://digimon.shadowsmith.com/img/kabuterimon.jpg,Champion
Andromon,https://digimon.shadowsmith.com/img/andromon.jpg,Ultimate
Togemon,https://digimon.shadowsmith.com/img/togemon.jpg,Champion
Numemon,https://digimon.shadowsmith.com/img/numemon.jpg,Champion
Monzaemon,https://digimon.shadowsmith.com/img/monzaemon.jpg,Ultimate
Ikkakumon,https://digimon.shadowsmith.com/img/ikkakumon.jpg,Champion
Unimon,https://digimon.shadowsmith.com/img/unimon.jpg,Champion
Leomon,https://digimon.shadowsmith.com/img/leomon.jpg,Champion
Ogremon,https://digimon.shadowsmith.com/img/ogremon.jpg,Champion
Devimon,https://digimon.shadowsmith.com/img/devimon.jpg,Champion
Frigimon,https://digimon.shadowsmith.com/img/frigimon.jpg,Champion
Mojyamon,https://digimon.shadowsmith.com/img/mojyamon.jpg,Champion
Sukamon,https://digimon.shadowsmith.com/img/sukamon.jpg,Champion
Centarumon,https://digimon.shadowsmith.com/img/centarumon.jpg,Champion
Bakemon,https://digimon.shadowsmith.com/img/bakemon.jpg,Champion
Elecmon,https://digimon.shadowsmith.com/img/elecmon.jpg,Rookie
Botamon,https://digimon.shadowsmith.com/img/botamon.jpg,Fresh
Punimon,https://digimon.shadowsmith.com/img/punimon.jpg,Fresh
Poyomon,https://digimon.shadowsmith.com/img/poyomon.jpg,Fresh
Yuramon,https://digimon.shadowsmith.com/img/yuramon.jpg,Fresh
Angemon,https://digimon.shadowsmith.com/img/angemon.jpg,Champion
Whamon,https://digimon.shadowsmith.com/img/whamon.jpg,Champion
Drimogemon,https://digimon.shadowsmith.com/img/drimogemon.jpg,Champion
Etemon,https://digimon.shadowsmith.com/img/etemon.jpg,Ultimate
Gazimon,https://digimon.shadowsmith.com/img/gazimon.jpg,Rookie
Pagumon,https://digimon.shadowsmith.com/img/pagumon.jpg,In Training
SkullGreymon,https://digimon.shadowsmith.com/img/skullgreymon.jpg,Ultimate
Kokatorimon,https://digimon.shadowsmith.com/img/kokatorimon.jpg,Champion
Tyrannomon,https://digimon.shadowsmith.com/img/tyrannomon.jpg,Champion
Piximon,https://digimon.shadowsmith.com/img/piximon.jpg,Ultimate
Datamon,https://digimon.shadowsmith.com/img/datamon.jpg,Ultimate
MetalGreymon,https://digimon.shadowsmith.com/img/metalgreymon.jpg,Ultimate
DemiDevimon,https://digimon.shadowsmith.com/img/demidevimon.jpg,Rookie
WereGarurumon,https://digimon.shadowsmith.com/img/weregarurumon.jpg,Ultimate
Digitamamon,https://digimon.shadowsmith.com/img/digitamamon.jpg,Ultimate
Vegiemon,https://digimon.shadowsmith.com/img/vegiemon.jpg,Champion
Myotismon,https://digimon.shadowsmith.com/img/myotismon.jpg,Ultimate
Vademon,https://digimon.shadowsmith.com/img/vademon.jpg,Ultimate
Pabumon,https://digimon.shadowsmith.com/img/pabumon.jpg,Fresh
Gekomon,https://digimon.shadowsmith.com/img/gekomon.jpg,Champion
Otamamon,https://digimon.shadowsmith.com/img/otamamon.jpg,Rookie
ShogunGekomon,https://digimon.shadowsmith.com/img/shogungekomon.jpg,Ultimate
Garudamon,https://digimon.shadowsmith.com/img/garudamon.jpg,Ultimate
Flymon,https://digimon.shadowsmith.com/img/flymon.jpg,Champion
Gatomon,https://digimon.shadowsmith.com/img/gatomon.jpg,Champion
Nanimon,https://digimon.shadowsmith.com/img/nanimon.jpg,Champion
Devidramon,https://digimon.shadowsmith.com/img/devidramon.jpg,Champion
Dokugumon,https://digimon.shadowsmith.com/img/dokugumon.jpg,Champion
Mammothmon,https://digimon.shadowsmith.com/img/mammothmon.jpg,Ultimate
Gesomon,https://digimon.shadowsmith.com/img/gesomon.jpg,Champion
Raremon,https://digimon.shadowsmith.com/img/raremon.jpg,Champion
SkullMeramon,https://digimon.shadowsmith.com/img/skullmeramon.jpg,Ultimate
Wizardmon,https://digimon.shadowsmith.com/img/wizardmon.jpg,Champion
Pumpkinmon,https://digimon.shadowsmith.com/img/pumpkinmon.jpg,Ultimate
Gotsumon,https://digimon.shadowsmith.com/img/gotsumon.jpg,Rookie
Lillymon,https://digimon.shadowsmith.com/img/lillymon.jpg,Ultimate
Phantomon,https://digimon.shadowsmith.com/img/phantomon.jpg,Ultimate
DarkTyrannomon,https://digimon.shadowsmith.com/img/darktyrannomon.jpg,Champion
Gizamon,https://digimon.shadowsmith.com/img/gizamon.jpg,Rookie
Zudomon,https://digimon.shadowsmith.com/img/zudomon.jpg,Ultimate
MegaSeadramon,https://digimon.shadowsmith.com/img/megaseadramon.jpg,Ultimate
Angewomon,https://digimon.shadowsmith.com/img/angewomon.jpg,Ultimate
Tuskmon,https://digimon.shadowsmith.com/img/tuskmon.jpg,Champion
Snimon,https://digimon.shadowsmith.com/img/snimon.jpg,Champion
MegaKabuterimon,https://digimon.shadowsmith.com/img/megakabuterimon.jpg,Ultimate
MagnaAngemon,https://digimon.shadowsmith.com/img/magnaangemon.jpg,Ultimate
VenomMyotismon,https://digimon.shadowsmith.com/img/venommyotismon.jpg,Mega
WarGreymon,https://digimon.shadowsmith.com/img/wargreymon.jpg,Mega
MetalGarurumon,https://digimon.shadowsmith.com/img/metalgarurumon.jpg,Mega
Nyaromon,https://digimon.shadowsmith.com/img/nyaromon.jpg,In Training
Salamon,https://digimon.shadowsmith.com/img/salamon.jpg,Rookie
Parrotmon,https://digimon.shadowsmith.com/img/parrotmon.jpg,Ultimate
Chuumon,https://digimon.shadowsmith.com/img/chuumon.jpg,Rookie
MetalSeadramon,https://digimon.shadowsmith.com/img/metalseadramon.jpg,Mega
Machinedramon,https://digimon.shadowsmith.com/img/machinedramon.jpg,Mega
Piedmon,https://digimon.shadowsmith.com/img/piedmon.jpg,Mega
Puppetmon,https://digimon.shadowsmith.com/img/puppetmon.jpg,Mega
Scorpiomon,https://digimon.shadowsmith.com/img/scorpiomon.jpg,Ultimate
Divermon,https://digimon.shadowsmith.com/img/divermon.jpg,Ultimate
Kiwimon,https://digimon.shadowsmith.com/img/kiwimon.jpg,Champion
Mushroomon,https://digimon.shadowsmith.com/img/mushroomon.jpg,Rookie
Blossomon,https://digimon.shadowsmith.com/img/blossomon.jpg,Ultimate
Floramon,https://digimon.shadowsmith.com/img/floramon.jpg,Rookie
Deramon,https://digimon.shadowsmith.com/img/deramon.jpg,Ultimate
Cherrymon,https://digimon.shadowsmith.com/img/cherrymon.jpg,Ultimate
Garbagemon,https://digimon.shadowsmith.com/img/garbagemon.jpg,Ultimate
MetalEtemon,https://digimon.shadowsmith.com/img/metaletemon.jpg,Mega
SaberLeomon,https://digimon.shadowsmith.com/img/saberleomon.jpg,Mega
RedVegiemon,https://digimon.shadowsmith.com/img/redvegiemon.jpg,Champion
Mekanorimon,https://digimon.shadowsmith.com/img/mekanorimon.jpg,Champion
Tankmon,https://digimon.shadowsmith.com/img/tankmon.jpg,Champion
Hagurumon,https://digimon.shadowsmith.com/img/hagurumon.jpg,Rookie
WaruMonzaemon,https://digimon.shadowsmith.com/img/warumonzaemon.jpg,Ultimate
LadyDevimon,https://digimon.shadowsmith.com/img/ladydevimon.jpg,Ultimate
Vilemon,https://digimon.shadowsmith.com/img/vilemon.jpg,Champion
Apocalymon,https://digimon.shadowsmith.com/img/apocalymon.jpg,Mega
Kunemon,https://digimon.shadowsmith.com/img/kunemon.jpg,Rookie
Musyamon,https://digimon.shadowsmith.com/img/musyamon.jpg,Champion
Starmon,https://digimon.shadowsmith.com/img/starmon.jpg,Champion
HerculesKabuterimon,https://digimon.shadowsmith.com/img/herculeskabuterimon.jpg,Mega
Candlemon,https://digimon.shadowsmith.com/img/candlemon.jpg,Rookie
Hanumon,https://digimon.shadowsmith.com/img/hanumon.jpg,Champion
Kokuwamon,https://digimon.shadowsmith.com/img/kokuwamon.jpg,Rookie
Revolvermon,https://digimon.shadowsmith.com/img/revolvermon.jpg,Champion
Plesiomon,https://digimon.shadowsmith.com/img/plesiomon.jpg,Mega
Megadramon,https://digimon.shadowsmith.com/img/megadramon.jpg,Ultimate
BlueMeramon,https://digimon.shadowsmith.com/img/bluemeramon.jpg,Champion
Magnadramon,https://digimon.shadowsmith.com/img/magnadramon.jpg,Mega
Gorillamon,https://digimon.shadowsmith.com/img/gorillamon.jpg,Champion
Syakomon,https://digimon.shadowsmith.com/img/syakomon.jpg,Rookie
MarineAngemon,https://digimon.shadowsmith.com/img/marineangemon.jpg,Mega
Boltmon,https://digimon.shadowsmith.com/img/boltmon.jpg,Mega
Mamemon,https://digimon.shadowsmith.com/img/mamemon.jpg,Ultimate
ExTyrannomon,https://digimon.shadowsmith.com/img/extyrannomon.jpg,Ultimate
Veedramon,https://digimon.shadowsmith.com/img/veedramon.jpg,Champion
AeroVeedramon,https://digimon.shadowsmith.com/img/aeroveedramon.jpg,Ultimate
Phoenixmon,https://digimon.shadowsmith.com/img/phoenixmon.jpg,Mega
Betamon,https://digimon.shadowsmith.com/img/betamon.jpg,Rookie
Guardromon,https://digimon.shadowsmith.com/img/guardromon.jpg,Champion
Penguinmon,https://digimon.shadowsmith.com/img/penguinmon.jpg,Rookie
PlatinumSukamon,https://digimon.shadowsmith.com/img/platinumsukamon.jpg,Champion
Psychemon,https://digimon.shadowsmith.com/img/psychemon.jpg,Rookie
Tsukaimon,https://digimon.shadowsmith.com/img/tsukaimon.jpg,Rookie
ModokiBetamon,https://digimon.shadowsmith.com/img/modokibetamon.jpg,Champion
Saberdramon,https://digimon.shadowsmith.com/img/saberdramon.jpg,Champion
SnowAgumon,https://digimon.shadowsmith.com/img/snowagumon.jpg,Rookie
Icemon,https://digimon.shadowsmith.com/img/icemon.jpg,Champion
Airdramon,https://digimon.shadowsmith.com/img/airdramon.jpg,Champion
MetalTyrannomon,https://digimon.shadowsmith.com/img/metaltyrannomon.jpg,Ultimate
Akatorimon,https://digimon.shadowsmith.com/img/akatorimon.jpg,Champion
Geremon,https://digimon.shadowsmith.com/img/geremon.jpg,Champion
Vermilimon,https://digimon.shadowsmith.com/img/vermilimon.jpg,Ultimate
Meteormon,https://digimon.shadowsmith.com/img/meteormon.jpg,Ultimate
Jijimon,https://digimon.shadowsmith.com/img/jijimon.jpg,Mega
Babamon,https://digimon.shadowsmith.com/img/babamon.jpg,Mega
FlareRizamon,https://digimon.shadowsmith.com/img/flarerizamon.jpg,Champion
Thunderballmon,https://digimon.shadowsmith.com/img/thunderballmon.jpg,Champion
Muchomon,https://digimon.shadowsmith.com/img/muchomon.jpg,Rookie
Goldramon,https://digimon.shadowsmith.com/img/goldramon.jpg,Mega
Soulmon,https://digimon.shadowsmith.com/img/soulmon.jpg,Champion
Rosemon,https://digimon.shadowsmith.com/img/rosemon.jpg,Mega
Piddomon,https://digimon.shadowsmith.com/img/piddomon.jpg,Champion
Gigadramon,https://digimon.shadowsmith.com/img/gigadramon.jpg,Ultimate
Cyberdramon,https://digimon.shadowsmith.com/img/cyberdramon.jpg,Ultimate
SkullSatamon,https://digimon.shadowsmith.com/img/skullsatamon.jpg,Ultimate
Milleniummon,https://digimon.shadowsmith.com/img/milleniummon.jpg,Mega
Daemon,https://digimon.shadowsmith.com/img/daemon.jpg,Mega
KingEtemon,https://digimon.shadowsmith.com/img/kingetemon.jpg,Mega
Chibomon,https://digimon.shadowsmith.com/img/chibomon.jpg,Fresh
Pururumon,https://digimon.shadowsmith.com/img/pururumon.jpg,Fresh
Tsubumon,https://digimon.shadowsmith.com/img/tsubumon.jpg,Fresh
DemiVeemon,https://digimon.shadowsmith.com/img/demiveemon.jpg,Training
Poromon,https://digimon.shadowsmith.com/img/poromon.jpg,Training
Upamon,https://digimon.shadowsmith.com/img/upamon.jpg,Training
Hawkmon,https://digimon.shadowsmith.com/img/hawkmon.jpg,Rookie
Armadillomon,https://digimon.shadowsmith.com/img/armadillomon.jpg,Rookie
Wormmon,https://digimon.shadowsmith.com/img/wormmon.jpg,Rookie
Flamedramon,https://digimon.shadowsmith.com/img/flamedramon.jpg,Armor
Raidramon,https://digimon.shadowsmith.com/img/raidramon.jpg,Armor
Magnamon,https://digimon.shadowsmith.com/img/magnamon.jpg,Armor
Sethmon,https://digimon.shadowsmith.com/img/sethmon.jpg,Armor
Halsemon,https://digimon.shadowsmith.com/img/halsemon.jpg,Armor
Shurimon,https://digimon.shadowsmith.com/img/shurimon.jpg,Armor
Toucanmon,https://digimon.shadowsmith.com/img/toucanmon.jpg,Armor
Submarimon,https://digimon.shadowsmith.com/img/submarimon.jpg,Armor
Bucchiemon,https://digimon.shadowsmith.com/img/bucchiemon.jpg,Armor
Stegomon,https://digimon.shadowsmith.com/img/stegomon.jpg,Armor
Pegasusmon,https://digimon.shadowsmith.com/img/pegasusmon.jpg,Armor
Nefertimon,https://digimon.shadowsmith.com/img/nefertimon.jpg,Armor
ExVeemon,https://digimon.shadowsmith.com/img/exveemon.jpg,Champion
Stingmon,https://digimon.shadowsmith.com/img/stingmon.jpg,Champion
Aquillamon,https://digimon.shadowsmith.com/img/aquillamon.jpg,Champion
Ankylomon,https://digimon.shadowsmith.com/img/ankylomon.jpg,Champion
Paildramon,https://digimon.shadowsmith.com/img/paildramon.jpg,Ultimate
Dinobeemon,https://digimon.shadowsmith.com/img/dinobeemon.jpg,Ultimate
Silphymon,https://digimon.shadowsmith.com/img/silphymon.jpg,Ultimate
Shakkoumon,https://digimon.shadowsmith.com/img/shakkoumon.jpg,Ultimate
Imperialdramon,https://digimon.shadowsmith.com/img/imperialdramon.jpg,Mega
GranKuwagamon,https://digimon.shadowsmith.com/img/grankuwagamon.jpg,Mega
Valkyrimon,https://digimon.shadowsmith.com/img/valkyrimon.jpg,Mega
Vikemon,https://digimon.shadowsmith.com/img/vikemon.jpg,Mega
Seraphimon,https://digimon.shadowsmith.com/img/seraphimon.jpg,Mega
Zhuqiaomon,https://digimon.shadowsmith.com/img/zhuqiaomon.jpg,Mega
Azulongmon,https://digimon.shadowsmith.com/img/azulongmon.jpg,Mega
Baihumon,https://digimon.shadowsmith.com/img/baihumon.jpg,Mega
Mokumon,https://digimon.shadowsmith.com/img/mokumon.jpg,Fresh
Omnimon,https://digimon.shadowsmith.com/img/omnimon.jpg,Mega
